NR_index,sentence,TSR_index
,"(1966), which co-starred then husband Richard Burton and the Supporting Actress Oscar-winner, Sandy Dennis.",160.0
,"1944, Kathleen Kennedy, known to friends as ""Kick,"" married William Cavendish, Marquess of Hartington, a Protestant and the eldest son and heir of the 10th Duke of Devonshire.",135.0
,"Abraham Lincoln (February 12, 1809 – April 15, 1865), sometimes called Abe Lincoln and nicknamed Honest Abe, the Rail Splitter, and the Great Emancipator, was the 16th President of the United States (1861 to 1865), and the first president from the Republican Party.",187.0
,"Abraham Simpson is estranged husband to Mona Simpson, father to Homer Jay Simpson and Herbert Powell, father-in-law to Marjorie Bouvier Simpson and grandfather to siblings Bartholomew J. Simpson, Lisa Marie Simpson and Margaret Simpson.",132.0
114.0,"According to Errol Flynn's memoirs, film director Raoul Walsh 'borrowed' Barrymore's body after the funeral, and left his corpse propped in a chair for a drunken Flynn to discover when he returned home from The Cock and Bull bar.",
316.0,"After World War II, Kennedy entered politics (partly to fill the void of his popular brother, Joseph P. Kennedy, Jr., on whom his family had pinned many of their hopes but who was killed in the war).",
303.0,"After a career-ending injury, Howard joined the staff at Clemson College and became head coach in 1939.",260.0
,"After a period spent traveling abroad with her family, she enrolled in the University of Chicago in 1912, graduating in 1914.",79.0
,"After a stint in the Army where he rose to the rank of corporal, he moved to California for a try at show business.",171.0
,"After a stint with investment banking firm A. G. Becker from 1960 to 1962, he was elected to the United States House of Representatives from Illinois in 1962, at the age of 30, and was re-elected in 1964, 1966, and 1968.",255.0
49.0,After a two-day trial she was banished as a heretic in 1638 and led 60 followers to settle Aquidneck Island in what later became Rhode Island.,363.0
,"After completing high school in 1965, Rodham enrolled at Wellesley College in Massachusetts where she became active in politics, serving, for a time, as President of the Wellesley College Chapter of the College Republicans.",102.0
331.0,"After earning his degree, Bush went to work in an entry level position in the international division of Texas Commerce Bank, which was run by Ben Love.",284.0
,"After graduating from Andover, an exclusive New England boarding school, Libby graduated from Yale University in 1972, where one of his professors was Paul Wolfowitz.",81.0
,"After graduating from Michigan Agricultural College (now Michigan State), he attended law school at the University of Michigan in 1891 before launching his career as a journalist in 1892 with the Chicago News-Record, where he covered the Pullman Strike and Coxey's Army in 1893.",92.0
,After he died the Koldewey Society was established to record and mark his architectural service.,77.0
248.0,"After he left the Pentagon, he became publisher and chairman of Forbes magazine, where over the next decade he wrote frequently on defense and national security issues.",
250.0,"After he published his book, his colleages from the Reagan administration broke contact and refused to speak with him.",
,"After high school, Hanks attended Chabot College in Hayward, California and transferred to California State University, Sacramento where he studied theatre.",85.0
,"After his family returned to their home in New York, Roosevelt started intensive tutoring under Arthur Hamilton Cutler in preparation for the Harvard University entrance exam.",63.0
,"After his khâgne at Lycée Henri IV, where he befriended Senegalese poet and statesman Leopold Sedar Senghor, he graduated from the École Normale Supérieure with a degree of Agrégation in philosophy.",71.0
50.0,"After many football insiders criticized Manning for being 0-3 in the playoffs, he won his first NFL playoff game against the Denver Broncos on January 4, 2004.",
,"After marrying Richard Burton, Taylor relinquished her American citizenship, and is now a ""permanent resident"" of the U.S. After marrying Republican Senator John Warner, of Virginia, she received a ""green card"" and keeps her British passport.",158.0
276.0,After studying at the Louisiana State University he joined the Monroe Police Department.,
287.0,"After the show was cancelled, he played a handyman on the series The Facts of Life.",
1.0,"After this initial success, Ford left Edison Illuminating and, with other investors, formed the Detroit Automobile Company.",356.0
121.0,"After two years of toiling in California he began passage home, by ship, to retrieve his family in New York.",
149.0,"Aged 86 at death, Groucho was the longest-lived of all the Marx brothers, though younger brother Zeppo survived him by two years.",
,"Aldous Leonard Huxley (July 26, 1894 – November 22, 1963) was a British writer who emigrated to the United States.",296.0
,"Alexander Gretchaninoff (October 25, 1864 Moscow, – January 3, 1956 New York) was a Russian Romantic composer, a student of Sergei Taneyev and Nikolai Rimsky-Korsakov known for his children's music, and also for his liturgical and other choral music.",330.0
15.0,"Alexander Rae Baldwin III (born April 3, 1958, in Massapequa, Long Island, New York, USA) is an American actor who is the oldest and best known of the ""Baldwin brothers"", with brothers Daniel, Stephen and William.",
,"Alexander Rae Baldwin III (born April 3, 1958, in Massapequa, Long Island, New York, USA) is an American actor who is the oldest and best known of the 'Baldwin brothers', with brothers Daniel, Stephen and William.",226.0
138.0,"All members of the Bouvier family (except, of course, Marge) smoke heavily and have gruff voices and sarcastic, snarky demeanours.",
294.0,Also as a child he severely injured his arm when he put the arm through a door's glass pane.,
11.0,"Although Ford is often credited with the idea, contemporary sources indicate that the concept and its development came from employees Clarence Avery, Peter E. Martin, Charles E. Sorensen, and C.H. Wills.",
,"Although she was christened Rose Marie Kennedy, she was commonly known as Rosemary.",130.0
,"An opponent of the policies of Andrew Jackson, he was the first member of the Whig Party to be elected governor of Tennessee.",207.0
,"Anna Eleanor Roosevelt (October 11, 1884 – November 7, 1962) was an American human rights activist, statesman, journalist, educator, author, diplomat and as the wife of President of the United States Franklin D. Roosevelt, the longest serving First Lady of the United States from 1933-1945.",144.0
47.0,"Anne Hutchinson (July 17, 1591 - August 20, 1643) was the unauthorized Puritan preacher of a dissident church discussion group, and pioneer in Rhode Island and the Bronx.",
310.0,"Another example of Kennedy's belief in the ability of nonmilitary power to improve the world was the creation of the Peace Corps, one of his first acts as president.",
,Anton Seidl (7 May 1850 - 28 March 1898) was a Hungarian conductor.,308.0
